id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
700000,2022-05-17 09:27:06,台湾,830257,0,13742,1097,0,0,,,,61714,,0,0,,61714
810000,2022-05-17 09:27:07,香港,331613,0,61238,9361,0,0,,,,0,,0,0,,0
420000,2022-05-17 00:00:36,湖北,68398,0,63886,4512,0,0,,,,0,,0,0,,0
310000,2022-05-17 09:27:06,上海,62251,0,58225,583,0,0,,,,77,,315,1,,-239
220000,2022-05-17 09:27:06,吉林,40267,0,40268,5,0,0,,,,5,,17,0,,-12
440000,2022-05-17 10:10:10,广东,7266,0,7096,8,0,0,,,,2,,19,0,,-17
610000,2022-05-17 00:00:36,陕西,3278,0,3274,3,0,0,,,,0,,0,0,,0
410000,2022-05-17 10:41:11,河南,3141,0,2933,22,0,0,,,,11,,13,0,,-2
350000,2022-05-17 11:09:16,福建,3138,0,3041,1,0,0,,,,10,,0,0,,10
330000,2022-05-17 09:27:06,浙江,3132,0,2669,1,0,0,,,,0,,14,0,,-14
230000,2022-05-17 11:09:15,黑龙江,2983,0,2961,13,0,0,,,,0,,3,0,,-3
110000,2022-05-17 09:27:06,北京,2822,0,2313,9,0,0,2228.0,0.0,1728.0,43,,57,0,,-14
370000,2022-05-17 09:27:07,山东,2734,0,2691,7,0,0,,,,0,,3,0,,-3
320000,2022-05-17 10:10:09,江苏,2217,0,2209,0,0,0,,,,1,,1,0,,0
530000,2022-05-17 09:27:07,云南,2130,0,2112,2,0,0,,,,2,,0,0,,2
510000,2022-05-17 11:09:16,四川,2122,0,2059,3,0,0,,,,16,,6,0,,10
130000,2022-05-17 09:27:06,河北,2004,0,1990,7,0,0,,,,0,,0,0,,0
120000,2022-05-17 10:10:09,天津,1811,0,1801,3,0,0,,,,7,,0,0,,7
150000,2022-05-17 00:00:36,内蒙古,1753,0,1750,1,0,0,,,,0,,0,0,,0
210000,2022-05-17 10:41:11,辽宁,1670,0,1655,2,0,0,,,,0,,2,0,,-2
450000,2022-05-17 09:27:07,广西,1610,0,1590,2,0,0,,,,0,,0,0,,0
430000,2022-05-17 00:00:36,湖南,1393,0,1381,4,0,0,,,,0,,0,0,,0
360000,2022-05-17 10:41:11,江西,1383,0,1377,1,0,0,,,,0,,3,0,,-3
340000,2022-05-17 09:27:06,安徽,1065,0,1058,6,0,0,,,,0,,0,0,,0
650000,2022-05-17 00:00:36,新疆,1008,0,1005,3,0,0,,,,0,,0,0,,0
500000,2022-05-17 00:00:36,重庆,708,0,693,6,0,0,,,,0,,0,0,,0
620000,2022-05-17 00:00:36,甘肃,681,0,679,2,0,0,,,,0,,0,0,,0
140000,2022-05-17 00:00:36,山西,420,0,415,0,0,0,,,,0,,0,0,,0
460000,2022-05-17 00:00:35,海南,288,0,282,6,0,0,,,,0,,0,0,,0
520000,2022-05-17 09:27:07,贵州,185,0,178,2,0,0,,,,0,,0,0,,0
630000,2022-05-17 10:41:10,青海,146,0,98,0,0,0,,,,0,,3,0,,-3
640000,2022-05-17 00:00:36,宁夏,122,0,122,0,0,0,,,,0,,0,0,,0
820000,2022-05-17 00:00:35,澳门,82,0,82,0,0,0,,,,0,,0,0,,0
540000,2022-05-17 00:00:35,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
